UID,NAME,SKU,REGULAR_PRICE,DISCOUNT_PRICE,DISCOUNT_PRICE_END_DATE,LOWEST_PRICE,DESCRIPTION,SHORT_DESCRIPTION,NOTE,STATUS,PRODUCTSCOL,QUANTITY
dc8ba2a5-ae58-4494-a429-e59c0eee1617,"Ethiopia Emerald","4000",150,120,2024-09-25 20:39:10.401666,50,"Ethiopia Emerald to kawa, która przenosi smakoszy w magiczny świat etiopskich górskich lasów. Znana ze swej wyjątkowości, ta odmiana kawy zachwyca bogatym aromatem i niezwykle złożonym smakiem. Owoce, takie jak jagody i cytrusy, przeplatają się tu z delikatnymi nutami kwiatowymi, tworząc unikalne doświadczenie smakowe. Każda ziarenka tej kawy są starannie zbierane ręcznie i suszone na słońcu, aby zachować pełnię smaku. Ethiopia Emerald to idealny wybór dla miłośników kawy, którzy pragną podróży przez smakowe tajniki Etiopii. Zapewnia nie tylko doskonały poranek, ale także wyjątkowe chwile relaksu podczas każdej filiżanki.","Ethiopia Emerald to wyjątkowa odmiana kawy o intensywnym smaku i aromacie. Pochodzi z malowniczych plantacji Etiopii, gdzie starannie dojrzewa w cieniu górskich lasów. Ta kawa zachwyca nutami owoców i delikatnym kwiatowym posmakiem.",null,ACTIVE,null,12
f93b7c60-728d-4413-8231-c38304ff919e,"Ethiopia Tradition","4001",90,,,50,"Ethiopia Tradition to podróż przez kawowe korzenie Etiopii. Starannie dojrzewające ziarna tej kawy są zbierane na malowniczych plantacjach, gdzie tradycja uprawy sięga wieków. Ta wyjątkowa odmiana kawy zachwyca aromatem owoców jagodowych i subtelnymi nutami kwiatowymi. Podczas zaparzania Ethiopia Tradition odkryjesz bogactwo smaku, które przenosi Cię do serca etiopskich górskich lasów. Delikatna kwasowość i aksamitna tekstura nadają tej kawie wyjątkowy charakter. To idealny wybór dla miłośników kawy, którzy pragną odkryć autentyczność etiopskich tradycji kawowych. Zapomnij o codziennym pośpiechu i zanurz się w smakowej podróży, jaką oferuje Ethiopia Tradition. Każda filiżanka to spotkanie z historią i kultura tego fascynującego kraju.","Ethiopia Tradition - wyjątkowa kawa z Etiopii, bogata w smak i aromat. Odkryj tradycję kawową Etiopii w każdej filiżance.",null,ACTIVE,null,45
deacbd60-9d26-4d4c-bc08-af872a0245d6,"Ethiopia Adventures","4002",160,128,2024-09-25 20:39:10.401666,50,"Ethiopia Adventures to niezwykła kawa, która przenosi Cię w egzotyczną podróż po Etiopii. Ziarna tej kawy rosną na malowniczych plantacjach w górach, gdzie klimat i gleba nadają im wyjątkowy charakter. Podczas degustacji Ethiopia Adventures odkryjesz fascynujący zestaw smaków. Nuty owoców jagodowych, delikatna kwasowość i subtelne nuty kwiatowe tworzą niezapomniane doświadczenie smakowe. To kawa, która opowiada historię Etiopii i jej kawowej tradycji. Ethiopia Adventures to doskonały wybór dla miłośników kawy, którzy chcą eksplorować różnorodność smaków i aromatów świata. Każda filiżanka tej kawy to zaproszenie do podróży przez egzotyczny krajobraz Etiopii i jej fascynującą kulturę.","Ethiopia Adventures - kawa, która zabierze Cię w niesamowitą podróż przez smakowe tajemnice Etiopii. Odkryj przygodę w każdej filiżance.",null,ACTIVE,null,76
f7d21472-688c-4049-95ce-a466a14cfcf0,"Ethiopia Aroma","4003",150,,,50,"Ethiopia Aroma to kawa, która w jednej filiżance przenosi Cię na wyprawę po aromatycznych krajobrazach Etiopii. Te wyjątkowe ziarna pochodzą z malowniczych plantacji w górach tego fascynującego kraju, gdzie dojrzewają w idealnych warunkach. W trakcie degustacji Ethiopia Aroma odkryjesz głęboki smak z nutami owoców jagodowych i subtelnymi akcentami kwiatowymi. To prawdziwa kawa dla koneserów, oferująca wyjątkowe doświadczenie smakowe. Ethiopia Aroma to nie tylko kawa, to także opowieść o bogatej kawowej tradycji Etiopii. Każda filiżanka tej kawy to zaproszenie do eksploracji tajemniczego świata etiopskich aromatów i aromatycznych przygód.","Ethiopia Aroma - kawa z Etiopii, która zachwyca wyjątkowym aromatem i głębokim smakiem. Odkryj esencję etiopskiej przyjemności w każdej filiżance.",null,ACTIVE,null,89
4bdf3e97-e302-4919-8c5d-df7f8185da58,"Ethiopia Full Capacity","4004",200,150,2024-09-25 20:39:10.401666,50,"Ethiopia Full Capacity to kawa, która w pełni ukazuje smakową moc Etiopii. Te wyjątkowe ziarna pochodzą z górskich plantacji, gdzie dojrzewają w mikroklimatach sprzyjających wyjątkowym smakom. Podczas degustacji Ethiopia Full Capacity odkryjesz intensywny smak z nutami owoców jagodowych, delikatną kwasowością i aksamitną teksturą. To kawa dla prawdziwych miłośników kawy, którzy cenią jej bogactwo i głębię. Każda filiżanka tej kawy to podróż przez krajobrazy Etiopii i jej smakowe bogactwo. Ethiopia Full Capacity to wyjątkowy wybór dla tych, którzy poszukują kawy, która dostarczy im pełnię aromatycznej przyjemności.","Ethiopia Full Capacity - kawa pełna intensywności i aromatu. Odkryj potencjał smakowy Etiopii w każdej filiżance.",null,ACTIVE,null,33
366df554-c5da-4f9f-b099-2c1ce0951df5,"Ethiopia Golden Age","4005",149,,,50,"Ethiopia Golden Age to kawa, która przenosi nas w złoty wiek etiopskiej kawowej tradycji. Ziarna tej kawy rosną na urokliwych plantacjach w górach Etiopii, gdzie od wieków kawa jest częścią kultury. Podczas degustacji Ethiopia Golden Age poczujesz wyjątkowe połączenie smaków - od owoców jagodowych po delikatne nuty kwiatowe. To kawa, która kusi intensywnym aromatem i głębokim smakiem. Każda filiżanka tej kawy to powrót do złotego wieku Etiopii, kiedy to kawowa tradycja kwitła w pełni. Ethiopia Golden Age to hołd dla tej historii i kultury, którą można teraz docenić w każdej filiżance.","Ethiopia Golden Age - kawa, która przynosi smakowy złoty wiek Etiopii. Odkryj bogactwo aromatów i tradycji w każdej filiżance.",null,ACTIVE,null,55
24da3997-1654-4651-8e17-f8813742ae83,"Ethiopia of Ethiopia","4006",120,102,2024-09-25 20:39:10.401666,50,"Ethiopia of Ethiopia to kawa, która przenosi Cię w serce samej Etiopii. Ziarna tej kawy są starannie zbierane na tradycyjnych plantacjach tego afrykańskiego kraju, gdzie kawa ma długą i bogatą historię. Podczas degustacji Ethiopia of Ethiopia doświadczysz pełnego spektrum smaków, od intensywnych owocowych nut po delikatne akcenty kwiatowe. To kawa, która opowiada historię i kulturę Etiopii w każdym łyku. Każda filiżanka tej kawy to podróż przez krajobrazy Etiopii i jej smakowe bogactwo. Ethiopia of Ethiopia to nie tylko kawa, to także zaproszenie do odkrycia tego fascynującego kraju w każdej filiżance.","Ethiopia of Ethiopia - kawa, która jest prawdziwą esencją Etiopii. Odkryj smak i aromat tego fascynującego kraju w każdej filiżance.",null,ACTIVE,null,21
13da61c3-0406-44ad-8630-7f921fc87112,"Ethiopia Rest","4007",79,,,50,"Ethiopia Rest to kawa, która przenosi Cię w stan błogiego wytchnienia, jak w najlepszym etiopskim spokoju. Ziarna tej kawy są starannie zbierane na plantacjach w górach Etiopii, gdzie przyroda i tradycja tworzą wyjątkowy spokój. Podczas degustacji Ethiopia Rest doświadczysz delikatnego smaku z nutami owoców jagodowych i subtelnymi akcentami kwiatowymi. To kawa, która pozwala odpocząć i cieszyć się chwilą. Każda filiżanka tej kawy to zaproszenie do relaksu i odkrywania spokoju Etiopii. Ethiopia Rest to wyjątkowy wybór dla tych, którzy pragną zatrzymać się na chwilę i cieszyć się aromatycznym wyciszeniem przy filiżance kawy.","Ethiopia Rest - kawa, która oferuje chwilę wytchnienia w każdej filiżance. Odkryj spokój Etiopii w aromatycznej kawie.",null,ACTIVE,null,1
b8dd4b03-b234-4f23-9750-e8e5d5dcf7fd,"Ethiopia Strong","4008",139,,,50,"Ethiopia Strong to kawa, która zapewnia intensywny smak i wyrazistość Etiopii. Ziarna tej kawy pochodzą z górskich plantacji, gdzie dojrzewają w surowym i wymagającym klimacie. Podczas degustacji Ethiopia Strong odkryjesz mocny smak z nutami gorzkiej czekolady i wyraźną kwasowością. To kawa, która pozwala cenić sobie jej wyrazisty charakter. Każda filiżanka tej kawy to wyzwanie i przygoda smakowa. Ethiopia Strong to doskonały wybór dla tych, którzy preferują kawy o intensywnym smaku i pragną poczuć esencję siły Etiopii w każdym łyku.","Ethiopia Strong - kawa o intensywnym charakterze. Odkryj moc i wyrazistość Etiopii w każdej filiżance.",null,ACTIVE,null,7
1cfc1c4f-a67c-4af5-a664-d41ee231c308,"Ethiopia Sunrise","4009",80,72,2024-09-25 20:39:10.401666,50,"Ethiopia Sunrise to kawa, która ożywia zmysły tak, jak wschód słońca nad pięknymi górami Etiopii. Te wyjątkowe ziarna pochodzą z malowniczych plantacji, gdzie kawa jest nieodłączną częścią życia. Podczas degustacji Ethiopia Sunrise poczujesz świeżość z nutami owoców cytrusowych i delikatną kwasowością. To kawa, która pobudza zmysły i dodaje energii na cały dzień. Każda filiżanka tej kawy to spotkanie z rześkością i witalnością Etiopii. Ethiopia Sunrise to idealny wybór dla tych, którzy cenią sobie energetyzującą moc kawy i chcą rozpocząć dzień od świeżego startu.","Ethiopia Sunrise - kawa, która budzi z rana jak pierwsze promienie słońca nad etiopskimi górami. Odkryj świeżość Etiopii w każdej filiżance.",null,ACTIVE,null,68
